campaign.name,campaign.resource_name,campaign_shared_set.resource_name,shared_set.name,shared_set.resource_name
Agrícola I Search I NB,customers/4760314854/campaigns/22635254582,customers/4760314854/campaignSharedSets/22635254582~11672642343,Exclusión ngrams (Exactos),customers/4760314854/sharedSets/11672642343
Agrícola I Search I NB,customers/4760314854/campaigns/22635254582,customers/4760314854/campaignSharedSets/22635254582~11601276514,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
Agrícola I Search I NB,customers/4760314854/campaigns/22635254582,customers/4760314854/campaignSharedSets/22635254582~11594315772,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
Agrícola I Search I NB I Vista Los Naranjos,customers/4760314854/campaigns/23678356500,customers/4760314854/campaignSharedSets/23678356500~11672642343,Exclusión ngrams (Exactos),customers/4760314854/sharedSets/11672642343
Agrícola I Search I NB I Vista Los Naranjos,customers/4760314854/campaigns/23678356500,customers/4760314854/campaignSharedSets/23678356500~11601276514,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
Agrícola I Search I NB I Vista Los Naranjos,customers/4760314854/campaigns/23678356500,customers/4760314854/campaignSharedSets/23678356500~11594315772,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/campaignSharedSets/23678661534~11672642343,Exclusión ngrams (Exactos),customers/4760314854/sharedSets/11672642343
Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/campaignSharedSets/23678661534~11601276514,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/campaignSharedSets/23678661534~11594315772,Listado No Relevantes,customers/4760314854/sharedSets/11594315772
Agrícola I Search I NB Test Landing Page,customers/4760314854/campaigns/22764262259,customers/4760314854/campaignSharedSets/22764262259~11672642343,Exclusión ngrams (Exactos),customers/4760314854/sharedSets/11672642343
Agrícola I Search I NB Test Landing Page,customers/4760314854/campaigns/22764262259,customers/4760314854/campaignSharedSets/22764262259~11601276514,Lista KW Competencia,customers/4760314854/sharedSets/11601276514
Agrícola I Search I NB Test Landing Page,customers/4760314854/campaigns/22764262259,customers/4760314854/campaignSharedSets/22764262259~11594315772,Listado No Relevantes,customers/4760314854/sharedSets/11594315772